"sub.id" "comm.id" "type.id" "diff"
"258" "vw905" "FrontoParietal" "picture" -0.125067269863827
"259" "vw905" "Visual" "load" -0.0848174286055141
"260" "vw905" "Visual" "picture" 0.0808823305815816
"261" "st7251" "FrontoParietal" "load" -0.0658354764192814
"262" "st7251" "FrontoParietal" "picture" -0.00614919116465829
"263" "st7251" "Visual" "load" -0.167212297808761
"264" "st7251" "Visual" "picture" 0.312161835675739
"265" "nn4900" "FrontoParietal" "load" 0.0889350207381755
"266" "nn4900" "FrontoParietal" "picture" -0.0256727734827222
"267" "nn4900" "Visual" "load" -0.146142126126314
"268" "nn4900" "Visual" "picture" 0.246337365981557
"269" "pv8315" "FrontoParietal" "load" 0.149328877278307
"270" "pv8315" "FrontoParietal" "picture" -0.0255246062042783
"271" "pv8315" "Visual" "load" -0.173566653209493
"272" "pv8315" "Visual" "picture" 0.417710397533564
"273" "wx5916" "FrontoParietal" "load" 0.0453218296729884
"274" "wx5916" "FrontoParietal" "picture" -0.118379633498534
"275" "wx5916" "Visual" "load" -0.142675017578024
"276" "wx5916" "Visual" "picture" 0.28967124937606
"277" "wc5601" "FrontoParietal" "load" -0.0127210592973955
"278" "wc5601" "FrontoParietal" "picture" -0.185953552202091
"279" "wc5601" "Visual" "load" -0.180006388168546
"280" "wc5601" "Visual" "picture" 0.110311282860727
"281" "kj5306" "FrontoParietal" "load" 0.376069095582729
"282" "kj5306" "FrontoParietal" "picture" -0.189265476425971
"283" "kj5306" "Visual" "load" 0.332299707232678
"284" "kj5306" "Visual" "picture" -0.00985268551074259
"285" "uc1939" "FrontoParietal" "load" -0.00362234281954554
"286" "uc1939" "FrontoParietal" "picture" -0.0427017326807664
"287" "uc1939" "Visual" "load" 0.0526158730715125
"288" "uc1939" "Visual" "picture" 0.0628033720764609
"289" "zl8476" "FrontoParietal" "load" 0.155509906794713
"290" "zl8476" "FrontoParietal" "picture" -0.122475920196759
"291" "zl8476" "Visual" "load" -0.128647806984161
"292" "zl8476" "Visual" "picture" 0.384879550733051
"293" "oj9096" "FrontoParietal" "load" 0.0472424920357168
"294" "oj9096" "FrontoParietal" "picture" 0.0172696356339497
"295" "oj9096" "Visual" "load" -0.234560253360632
"296" "oj9096" "Visual" "picture" 0.497813904152195
"297" "lp2952" "FrontoParietal" "load" 0.148410827327296
"298" "lp2952" "FrontoParietal" "picture" -0.0894500430783013
"299" "lp2952" "Visual" "load" -0.169053239409637
"300" "lp2952" "Visual" "picture" 0.399084223067632
"301" "cm1911" "FrontoParietal" "load" 0.107831382410708
"302" "cm1911" "FrontoParietal" "picture" 0.000633653546031843
"303" "cm1911" "Visual" "load" -0.23136462692051
"304" "cm1911" "Visual" "picture" 0.481397811557797
"305" "zy4127" "FrontoParietal" "load" 0.191339105211254
"306" "zy4127" "FrontoParietal" "picture" -0.120401925092254
"307" "zy4127" "Visual" "load" -0.114699293408068
"308" "zy4127" "Visual" "picture" 0.346697094381307
"309" "hv4891" "FrontoParietal" "load" 0.0867142643286564
"310" "hv4891" "FrontoParietal" "picture" -0.0297933282212345
"311" "hv4891" "Visual" "load" -0.0870208166584212
"312" "hv4891" "Visual" "picture" 0.252564728335722
"313" "ob9396" "FrontoParietal" "load" 0.0416827396324257
"314" "ob9396" "FrontoParietal" "picture" 0.0889783865153887
"315" "ob9396" "Visual" "load" -0.253026464038881
"316" "ob9396" "Visual" "picture" 0.518859502250301
"317" "lj5511" "FrontoParietal" "load" 0.234135866109304
"318" "lj5511" "FrontoParietal" "picture" -0.119717256488567
"319" "lj5511" "Visual" "load" -0.158198675054731
"320" "lj5511" "Visual" "picture" 0.275275731297767
"321" "kc6064" "FrontoParietal" "load" 0.143573626760062
"322" "kc6064" "FrontoParietal" "picture" -0.0550587165160314
"323" "kc6064" "Visual" "load" -0.11856795388117
"324" "kc6064" "Visual" "picture" 0.270653590292609
"325" "co1303" "FrontoParietal" "load" 0.197151452882998
"326" "co1303" "FrontoParietal" "picture" -0.0303043415934461
"327" "co1303" "Visual" "load" -0.204379733501792
"328" "co1303" "Visual" "picture" 0.469427440239194
"329" "tx8504" "FrontoParietal" "load" 0.172558801634331
"330" "tx8504" "FrontoParietal" "picture" -0.0977179788878777
"331" "tx8504" "Visual" "load" -0.214827310530116
"332" "tx8504" "Visual" "picture" 0.46340617534113
"333" "oj3626" "FrontoParietal" "load" 0.188775325283271
"334" "oj3626" "FrontoParietal" "picture" -0.117910854745491
"335" "oj3626" "Visual" "load" -0.126660833908063
"336" "oj3626" "Visual" "picture" 0.299112947731728
"337" "og1699" "FrontoParietal" "load" -0.061382774147601
"338" "og1699" "FrontoParietal" "picture" 0.0243080561543917
"339" "og1699" "Visual" "load" -0.177896390623541
"340" "og1699" "Visual" "picture" 0.317903292868768
"341" "yx5998" "FrontoParietal" "load" 0.0494596493888413
"342" "yx5998" "FrontoParietal" "picture" -0.119679634060265
"343" "yx5998" "Visual" "load" -0.0857524163885424
