"0bkFace.0bkFace" "0bkFace.0bkPlace" "0bkFace.2bkFace" "0bkFace.2bkPlace" "0bkPlace.0bkFace" "0bkPlace.0bkPlace" "0bkPlace.2bkFace" "0bkPlace.2bkPlace" "2bkFace.0bkFace" "2bkFace.0bkPlace" "2bkFace.2bkFace" "2bkFace.2bkPlace" "2bkPlace.0bkFace" "2bkPlace.0bkPlace" "2bkPlace.2bkFace" "2bkPlace.2bkPlace"
"ub22.ia4019" 0.26070018539242 0.238808612305905 0.221487226722619 0.257685129031263 0.227027358958888 0.239865962626892 0.26770841826523 0.297357992967058 0.194060174755274 0.19896262529243 0.203268542091148 0.21608347096056 0.182667596427944 0.169196124143144 0.148473746409777 0.180573540990259
"sv1050.ob5169" 0.219843765858296 0.139917573191835 0.244384662974242 0.185711143811896 0.213866182137336 0.176418766261446 0.306986879261133 0.241763300154055 0.300302787125545 0.2404848359674 0.344401159643954 0.309226705297501 0.254893273918161 0.175464552378522 0.278586193325716 0.244161836255706
"zp8076.fu4651" 0.10412154256386 0.101918807430317 0.102855630266276 0.0854905893931024 0.15882182545098 0.131821026005506 0.0990674368048806 0.154367044265857 0.241678939329934 0.149651566610761 0.194918792580064 0.201257615381698 0.242511212226358 0.153577064669219 0.162249154251196 0.183528304319307
"sh9073.tr3019" 0.183955217412032 0.196693598253961 0.0642224345661528 0.0876791621254794 0.128888602863877 0.24409159202895 0.138342831170816 0.177779738784268 0.220375440696221 0.230750096127297 0.199915603622757 0.199198966170378 0.208655342728404 0.248814734150171 0.15972386293482 0.185414742932827
"ho4452.au2746" 0.0483557458484243 0.0808473537581412 0.0490900756542275 0.0473833881681127 0.0917667371062613 0.129988619255019 0.125419200087761 0.130206639595335 0.0487106055335602 0.102353036455942 0.0882029659260065 0.0619070188855719 0.109728606587296 0.140405263093165 0.129407951857336 0.130930968156371
"qz8248.nr1944" 0.178125123157518 0.121596180761373 0.0736148548624893 0.107020982585866 0.0892605873635581 0.107658921771747 0.0257837505850273 0.106056261066728 0.112144231760707 0.0840447478486247 0.0370866359195089 0.0463876456230671 0.0951223416533876 0.10004157499945 0.0920543624686974 0.0731890545746043
"cl2509.iu339" 0.118660656788745 0.0792709983193451 0.180947524015017 0.174137983249239 0.109054244045676 0.131363310943323 0.199007055938065 0.23180786163469 0.076121469727125 0.0774266352151957 0.189563787071924 0.206817147374353 0.118754290962675 0.154606169177478 0.201416886460404 0.238175085100227
"cs9691.hb7546" -0.0516632005186596 -0.0337561993424358 -0.00378472235439038 0.0132549125148936 -0.049444939208206 0.0142344948769478 0.00579635336086123 0.0401759327888042 0.109775154209062 0.0986962718320091 0.137275151213236 0.107494984642658 0.00753870236359531 0.0474867873692894 0.0572472549395686 0.0210072931615223
"uw6754.vb2722" 0.256107611791565 0.288530777648392 0.187677255088487 0.216142893575129 0.243435419583595 0.234260242893228 0.240833846155215 0.235499232961459 0.17243287152671 0.111282111451352 0.257173722147963 0.208039851530308 0.190479300349015 0.132157987577544 0.253610157711469 0.237252148034101
"sx7909.bn7978" 0.0475754530507934 0.167687243011422 0.216861980527185 0.135682385197711 0.0226138429143792 0.163654857839959 0.166256086416149 0.075148589616955 0.0230311507365362 0.15842021861555 0.206190519900636 0.0901189184832357 0.040398315501529 0.130899384575028 0.171401744590557 0.120775610891294
"jh1505.ri764" 0.115646094642953 0.0366508668734007 0.0874979078377459 0.0760676756941101 0.107115939990244 0.0107467195314891 0.096609617977631 0.0532810656555521 0.0725746709000496 0.0103977149143108 0.155284728029935 0.0673104401884783 0.0628067699257144 -0.00183391690203771 0.165079839999977 0.0932599612602488
"oy6431.qk7176" 0.171930896025578 0.15216575691346 0.169009026164957 0.155408452976196 0.0150873034659069 0.0797753277452955 0.0625241740448718 0.0761203224853665 0.134296236387755 0.210716203231034 0.214456858903515 0.177425675498517 0.0698796974330622 0.0521643254389239 0.102170280614719 0.0745874078658803
